model,variable,name,yaml
NOAAGlobalTemp,['global_temp_anom'],noaa_global_temp,"sources:
  noaa_global_temp:
    args:
      csv_kwargs:
        skiprows: 4
      urlpath: https://www.ncei.noaa.gov/access/monitoring/climate-at-a-glance/global/time-series/globe/land_ocean/1/4/1850-2023/data.csv
    description: ''
    driver: intake.source.csv.CSVSource
    metadata: {}
"
CMCC-CM2-HR4,"['wmo', 'sftgrf', 'hurs', 'areacellr', 'rsdt', 'sisnmass', 'zg', 'rsut', 'huss', 'masscello', 'sfcWindmax', 'zostoga', 'wo', 'ta850', 'hur', 'evspsblveg', 'lai', 'psl', 'basin', 'rlds', 'sitimefrac', 'simass', 'prsn', 'sandfrac', 'slthick', 'sfcWind', 'siu', 'evspsblsoi', 'rlus', 'clivi', 'mrsol', 'zos', 'tran', 'wfo', 'vas', 'cli', 'clt', 'rsds', 'volo', 'hus', 'so', 'uas', 'tauuo', 'pr', 'hfds', 'tauvo', 'va', 'sosga', 'sos', 'mrsos', 'clw', 'umo', 'sftlf', 'ua', 'thetao', 'hfss', 'tauu', 'ta', 'mrro', 'tos', 'vmo', 'sftgif', 'cl', 'tas', 'siconc', 'orog', 'sivol', 'ksat', 'rsus', 'tauv', 'thetaoga', 'wap', 'hfls', 'rlut', 'areacello', 'deptho', 'clwvi', 'volcello', 'prw', 'siv', 'ts', 'ps', 'mrso', 'evspsbl', 'clayfrac', 'prc']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
EC-Earth3P-HR,"['evspsbl', 'pr']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
HadGEM3-GC31-MM,"['sndmasssnf', 'tsl', 'wmo', 'tasmax', 'hurs', 'mrros', 'rsutcsaf', 'evs', 'prc', 'thkcello', 'sisnmass', 'zg', 'rsut', 'huss', 'sfcWindmax', 'zostoga', 'wo', 'prra', 'hur', 'od550aer', 'ta850', 'lai', 'evspsblveg', 'ficeberg', 'psl', 'basin', 'rlds', 'grassFrac', 'pbo', 'sitimefrac', 'areacella', 'soga', 'prsn', 'rsutcs', 'hfy', 'sfcWind', 'siu', 'tasmin', 'evspsblsoi', 'sispeed', 'rlus', 'albisccp', 'clivi', 'wtem', 'tosga', 'epfz', 'zos', 'tran', 'utendepfd', 'wfo', 'vas', 'cli', 'sftof', 'clt', 'rsds', 'volo', 'hus', 'mrsofc', 'so', 'uas', 'tauuo', 'pr', 'sisnconc', 'hfds', 'mlotst', 'tauvo', 'va', 'vo', 'uo', 'sosga', 'sos', 'vtem', 'rsdscs', 'sitemptop', 'clw', 'umo', 'sftlf', 'ua', 'thetao', 'hfss', 'rtmt', 'rsutaf', 'tauu', 'ta', 'mrro', 'msftbarot', 'tos', 'vmo', 'snw', 'rlutcsaf', 'cl', 'hfbasin', 'tas', 'rlutaf', 'siconc', 'orog', 'sivol', 'rsus', 'utendogw', 'tauv', 'rldscs', 'sisnthick', 'hfgeou', 'rsuscs', 'thetaoga', 'wap', 'hfls', 'rlut', 'areacello', 'deptho', 'utendnogw', 'clwvi', 'volcello', 'prw', 'cod', 'siv', 'epfy', 'ts', 'ps', 'mrso', 'evspsbl', 'rlutcs', 'rsdt']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
HadGEM3-GC31-HM,"['uas', 'tas', 'prsn', 'hurs', 'pr', 'rsutcs', 'va', 'rsus', 'prc', 'tauv', 'vtem', 'zg', 'rlus', 'rsut', 'wtem', 'huss', 'ua', 'hfls', 'rlut', 'hfss', 'prw', 'tauu', 'ts', 'ps', 'ta', 'evspsbl', 'psl', 'vas', 'rlutcs', 'rlds', 'clt', 'rsds', 'hus', 'rsdt']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
HadGEM3-GC31-LM,"['prsn', 'tas', 'uas', 'hurs', 'pr', 'rsutcs', 'va', 'rsus', 'prc', 'tauv', 'vtem', 'zg', 'rlus', 'rsut', 'wtem', 'huss', 'ua', 'hfls', 'rlut', 'hfss', 'prw', 'tauu', 'ts', 'ps', 'ta', 'evspsbl', 'psl', 'vas', 'rlds', 'rlutcs', 'clt', 'rsds', 'hus', 'rsdt']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
EC-Earth3P,"['evspsbl', 'pr']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
ECMWF-IFS-HR,"['uas', 'tas', 'prsn', 'tasmax', 'pr', 'rsutcs', 'va', 'rsus', 'tauv', 'tasmin', 'zg', 'rlus', 'rsut', 'ua', 'hfls', 'rlut', 'hfss', 'prw', 'tauu', 'ts', 'ps', 'ta', 'evspsbl', 'psl', 'vas', 'rlutcs', 'rlds', 'clt', 'rsds', 'hus', 'rsdt']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
ECMWF-IFS-LR,"['prsn', 'tas', 'uas', 'tasmax', 'pr', 'rsutcs', 'va', 'rsus', 'tauv', 'tasmin', 'zg', 'rlus', 'rsut', 'ua', 'hfls', 'rlut', 'hfss', 'prw', 'tauu', 'ts', 'ps', 'ta', 'evspsbl', 'psl', 'vas', 'rlds', 'rlutcs', 'clt', 'rsds', 'hus', 'rsdt']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
HadGEM3-GC31-LL,"['tsl', 'wmo', 'sndmasssnf', 'tasmax', 'hurs', 'mrros', 'rsutcsaf', 'rsdt', 'thkcello', 'sisnmass', 'sithick', 'zg', 'rsut', 'huss', 'masscello', 'sfcWindmax', 'zostoga', 'wo', 'prra', 'hur', 'od550aer', 'ta850', 'masso', 'evspsblveg', 'lai', 'ficeberg', 'psl', 'basin', 'rsdo', 'rlds', 'grassFrac', 'pbo', 'areacella', 'sitimefrac', 'soga', 'simass', 'prsn', 'rsutcs', 'hfy', 'sfcWind', 'siu', 'tasmin', 'evspsblsoi', 'sispeed', 'rlus', 'albisccp', 'clivi', 'wtem', 'agessc', 'mrsol', 'epfz', 'tosga', 'snc', 'zos', 'tran', 'utendepfd', 'obvfsq', 'wfo', 'vas', 'cli', 'sftof', 'clisccp', 'clt', 'rsds', 'volo', 'evspsblpot', 'hus', 'mrsofc', 'so', 'siconca', 'uas', 'tauuo', 'pr', 'sisnconc', 'hfds', 'mlotst', 'msftyzmpa', 'tauvo', 'va', 'vo', 'uo', 'sosga', 'sos', 'mrsos', 'vtem', 'rsdscs', 'sitemptop', 'clw', 'umo', 'mmrss', 'sftlf', 'ua', 'thetao', 'hfss', 'mmrdust', 'mmrso4', 'rtmt', 'rsutaf', 'tauu', 'ta', 'mrro', 'msftbarot', 'tos', 'vmo', 'snw', 'rlutcsaf', 'cl', 'hfbasin', 'tas', 'rlutaf', 'mmrbc', 'siconc', 'orog', 'sivol', 'rsus', 'utendogw', 'tauv', 'rldscs', 'sisnthick', 'hfgeou', 'rsuscs', 'thetaoga', 'wap', 'hfls', 'rlut', 'areacello', 'deptho', 'utendnogw', 'clwvi', 'volcello', 'mmroa', 'prw', 'cod', 'siv', 'epfy', 'ts', 'ps', 'mrso', 'evspsbl', 'rlutcs', 'prc']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
CMCC-CM2-VHR4,"['uas', 'tas', 'prsn', 'hurs', 'pr', 'va', 'rsus', 'zg', 'rlus', 'rsut', 'huss', 'ua', 'hfls', 'hfss', 'ts', 'ps', 'ta', 'evspsbl', 'psl', 'vas', 'rlds', 'clt', 'rsds', 'hus', 'rsdt']",google_cmip6,"sources:
  google_cmip6:
    args:
      obj: https://storage.googleapis.com/cmip6/pangeo-cmip6.json
    description: ''
    driver: intake_esm.core.esm_datastore
    metadata: {}
"
